"Step","Attention-Attention-1 - train_accuracy","Attention-Attention-1 - train_accuracy__MIN","Attention-Attention-1 - train_accuracy__MAX"
"7500","0.3800774413422226","0.3800774413422226","0.3800774413422226"
"15001","0.4616908481159103","0.4616908481159103","0.4616908481159103"
"22502","0.48785761511386183","0.48785761511386183","0.48785761511386183"
"30003","0.5076422699918708","0.5076422699918708","0.5076422699918708"
"37504","0.5259946172150702","0.5259946172150702","0.5259946172150702"
"45005","0.5437890489130727","0.5437890489130727","0.5437890489130727"
"52506","0.5613244894639887","0.5613244894639887","0.5613244894639887"
"60007","0.5776261388060715","0.5776261388060715","0.5776261388060715"
"67508","0.5904027799047397","0.5904027799047397","0.5904027799047397"
"75009","0.5982871786428803","0.5982871786428803","0.5982871786428803"
